# Chunk-averaged data for fix avegroupC and group groupC
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 512000.00000000035
  174 3.47 0.145781 0.00596962
  175 3.49 0.147176 0.00602672
  176 3.51 0.150069 0.00614517
  177 3.53 0.149633 0.00612733
  178 3.55 0.148631 0.0060863
  179 3.57 0.147346 0.00603368
  180 3.59 0.14705 0.00602156
  181 3.61 0.144834 0.00593082
  182 3.63 0.145286 0.00594933
  183 3.65 0.144672 0.00592419
  184 3.67 0.145139 0.00594333
  185 3.69 0.145673 0.00596518
  186 3.71 0.144063 0.00589923
  187 3.73 0.145723 0.00596722
  188 3.75 0.144986 0.00593704
  189 3.77 0.148276 0.00607179
  190 3.79 0.148141 0.00606622
  191 3.81 0.149362 0.00611624
  192 3.83 0.147787 0.00605172
  193 3.85 0.144931 0.00593477
  194 3.87 0.145437 0.00595551
  195 3.89 0.146405 0.00599517
  196 3.91 0.145626 0.00596323
  197 3.93 0.144118 0.0059015
  198 3.95 0.143562 0.00587873
  199 3.97 0.142854 0.00584974
  200 3.99 0.143056 0.00585801
  201 4.01 0.144912 0.00593401
  202 4.03 0.144179 0.00590398
  203 4.05 0.144431 0.00591432
  204 4.07 0.145801 0.00597042
  205 4.09 0.145081 0.00594091
  206 4.11 0.147481 0.00603919
  207 4.13 0.146207 0.00598702
  208 4.15 0.146102 0.00598274
  209 4.17 0.147161 0.00602611
  210 4.19 0.147721 0.00604904
  211 4.21 0.149887 0.00613771
  212 4.23 0.150115 0.00614707
  213 4.25 0.147258 0.00603008
  214 4.27 0.145705 0.00596649
  215 4.29 0.147256 0.00603
  216 4.31 0.147984 0.00605981
  217 4.33 0.147723 0.0060491
  218 4.35 0.148431 0.00607811
  219 4.37 0.147669 0.00604691
  220 4.39 0.148944 0.0060991
  221 4.41 0.147575 0.00604304
  222 4.43 0.148003 0.00606061
  223 4.45 0.148139 0.00606614
  224 4.47 0.146114 0.00598321
  225 4.49 0.146578 0.00600223
  226 4.51 0.146585 0.0060025
  227 4.53 0.147612 0.00604458
  228 4.55 0.146913 0.00601597
  229 4.57 0.147127 0.00602472
  230 4.59 0.14686 0.00601376
  231 4.61 0.145667 0.00596493
  232 4.63 0.145748 0.00596825
  233 4.65 0.145115 0.00594233
  234 4.67 0.14504 0.00593926
  235 4.69 0.14556 0.00596057
  236 4.71 0.146329 0.00599202
  237 4.73 0.146646 0.00600504
  238 4.75 0.145501 0.00595813
  239 4.77 0.145298 0.00594982
  240 4.79 0.145641 0.00596384
  241 4.81 0.147003 0.00601966
  242 4.83 0.146186 0.00598618
  243 4.85 0.147181 0.00602691
  244 4.87 0.148644 0.00608684
  245 4.89 0.149089 0.00610506
  246 4.91 0.14889 0.00609691
  247 4.93 0.148987 0.00610088
  248 4.95 0.146839 0.00601294
  249 4.97 0.147625 0.00604509
  250 4.99 0.145522 0.00595897
  251 5.01 0.145581 0.00596141
  252 5.03 0.144615 0.00592185
  253 5.05 0.14386 0.00589091
  254 5.07 0.144311 0.00590938
  255 5.09 0.143792 0.00588817
  256 5.11 0.144399 0.00591303
  257 5.13 0.144924 0.00593453
  258 5.15 0.146078 0.00598176
  259 5.17 0.14564 0.00596384
  260 5.19 0.144881 0.00593274
  261 5.21 0.144496 0.00591696
  262 5.23 0.144834 0.00593082
  263 5.25 0.145269 0.00594865
  264 5.27 0.146452 0.00599708
  265 5.29 0.146136 0.00598414
  266 5.31 0.14489 0.00593311
  267 5.33 0.144067 0.00589941
  268 5.35 0.146057 0.0059809
  269 5.37 0.147103 0.00602373
  270 5.39 0.146549 0.00600105
  271 5.41 0.144319 0.00590973
  272 5.43 0.143432 0.00587341
  273 5.45 0.14449 0.00591673
  274 5.47 0.146787 0.00601081
  275 5.49 0.146928 0.00601657
  276 5.51 0.146759 0.00600967
  277 5.53 0.146841 0.00601298
  278 5.55 0.148558 0.00608331
  279 5.57 0.148013 0.006061
  280 5.59 0.146302 0.00599093
  281 5.61 0.145729 0.00596745
  282 5.63 0.145809 0.00597074
  283 5.65 0.146513 0.00599957
  284 5.67 0.146411 0.00599538
  285 5.69 0.147123 0.00602455
  286 5.71 0.14657 0.00600191
  287 5.73 0.147568 0.00604279
  288 5.75 0.146884 0.00601477
  289 5.77 0.150004 0.00614255
  290 5.79 0.147701 0.00604824
  291 5.81 0.147535 0.00604142
  292 5.83 0.148218 0.00606937
  293 5.85 0.148329 0.00607392
  294 5.87 0.149034 0.00610281
  295 5.89 0.14801 0.00606085
  296 5.91 0.149573 0.00612488
  297 5.93 0.149072 0.00610434
  298 5.95 0.147243 0.00602949
  299 5.97 0.147208 0.00602801
  300 5.99 0.146409 0.00599531
  301 6.01 0.148688 0.00608866
  302 6.03 0.149026 0.00610246
  303 6.05 0.148455 0.0060791
  304 6.07 0.151012 0.00618378
  305 6.09 0.148929 0.00609851
  306 6.11 0.148101 0.00606462
  307 6.13 0.149768 0.00613286
  308 6.15 0.148942 0.00609902
  309 6.17 0.148989 0.00610096
  310 6.19 0.149764 0.0061327
  311 6.21 0.149651 0.00612807
  312 6.23 0.149247 0.00611153
  313 6.25 0.147667 0.00604683
  314 6.27 0.147976 0.00605946
  315 6.29 0.147144 0.00602539
  316 6.31 0.148104 0.0060647
  317 6.33 0.15003 0.00614359
  318 6.35 0.149803 0.00613432
  319 6.37 0.150903 0.00617932
  320 6.39 0.149654 0.00612821
  321 6.41 0.14972 0.00613088
  322 6.43 0.150313 0.00615518
  323 6.45 0.150165 0.0061491
  324 6.47 0.149543 0.00612365
