# Chunk-averaged data for fix avegroupO and group groupO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 1024000.0000000013
  175 3.49 0.293822 0.0120317
  176 3.51 0.294791 0.0120714
  177 3.53 0.295844 0.0121146
  178 3.55 0.296976 0.0121609
  179 3.57 0.296645 0.0121473
  180 3.59 0.296436 0.0121388
  181 3.61 0.293501 0.0120186
  182 3.63 0.294341 0.012053
  183 3.65 0.293842 0.0120326
  184 3.67 0.292615 0.0119823
  185 3.69 0.295468 0.0120992
  186 3.71 0.295381 0.0120956
  187 3.73 0.29604 0.0121225
  188 3.75 0.292453 0.0119757
  189 3.77 0.292171 0.0119641
  190 3.79 0.294281 0.0120505
  191 3.81 0.296668 0.0121483
  192 3.83 0.294519 0.0120603
  193 3.85 0.294075 0.0120421
  194 3.87 0.293708 0.0120271
  195 3.89 0.29367 0.0120255
  196 3.91 0.29505 0.012082
  197 3.93 0.293924 0.0120359
  198 3.95 0.293575 0.0120216
  199 3.97 0.293131 0.0120034
  200 3.99 0.294455 0.0120577
  201 4.01 0.293917 0.0120356
  202 4.03 0.291356 0.0119308
  203 4.05 0.292077 0.0119603
  204 4.07 0.292198 0.0119652
  205 4.09 0.290034 0.0118766
  206 4.11 0.288902 0.0118303
  207 4.13 0.291381 0.0119318
  208 4.15 0.292599 0.0119817
  209 4.17 0.293179 0.0120054
  210 4.19 0.294968 0.0120787
  211 4.21 0.294568 0.0120623
  212 4.23 0.294762 0.0120702
  213 4.25 0.296013 0.0121214
  214 4.27 0.293844 0.0120326
  215 4.29 0.294726 0.0120688
  216 4.31 0.292157 0.0119635
  217 4.33 0.293753 0.0120289
  218 4.35 0.293364 0.012013
  219 4.37 0.293845 0.0120327
  220 4.39 0.294411 0.0120558
  221 4.41 0.294035 0.0120405
  222 4.43 0.293745 0.0120286
  223 4.45 0.292507 0.0119779
  224 4.47 0.293676 0.0120258
  225 4.49 0.294154 0.0120454
  226 4.51 0.2929 0.011994
  227 4.53 0.29278 0.0119891
  228 4.55 0.294564 0.0120621
  229 4.57 0.29604 0.0121226
  230 4.59 0.293763 0.0120293
  231 4.61 0.294011 0.0120395
  232 4.63 0.294069 0.0120419
  233 4.65 0.293445 0.0120163
  234 4.67 0.292845 0.0119917
  235 4.69 0.294011 0.0120395
  236 4.71 0.294903 0.012076
  237 4.73 0.29365 0.0120247
  238 4.75 0.293029 0.0119993
  239 4.77 0.293133 0.0120035
  240 4.79 0.294283 0.0120506
  241 4.81 0.294656 0.0120659
  242 4.83 0.295858 0.0121151
  243 4.85 0.294412 0.0120559
  244 4.87 0.29594 0.0121185
  245 4.89 0.295722 0.0121096
  246 4.91 0.297696 0.0121904
  247 4.93 0.29786 0.0121971
  248 4.95 0.297853 0.0121968
  249 4.97 0.296712 0.0121501
  250 4.99 0.295469 0.0120992
  251 5.01 0.294822 0.0120727
  252 5.03 0.295105 0.0120843
  253 5.05 0.293686 0.0120262
  254 5.07 0.292974 0.011997
  255 5.09 0.290974 0.0119151
  256 5.11 0.291054 0.0119184
  257 5.13 0.290994 0.011916
  258 5.15 0.291926 0.0119541
  259 5.17 0.292855 0.0119921
  260 5.19 0.29329 0.01201
  261 5.21 0.295071 0.0120829
  262 5.23 0.295396 0.0120962
  263 5.25 0.294471 0.0120583
  264 5.27 0.294439 0.012057
  265 5.29 0.295525 0.0121015
  266 5.31 0.293893 0.0120346
  267 5.33 0.293517 0.0120193
  268 5.35 0.293854 0.0120331
  269 5.37 0.292452 0.0119756
  270 5.39 0.293659 0.0120251
  271 5.41 0.29221 0.0119658
  272 5.43 0.291058 0.0119186
  273 5.45 0.292122 0.0119621
  274 5.47 0.293242 0.012008
  275 5.49 0.294857 0.0120741
  276 5.51 0.293904 0.0120351
  277 5.53 0.295737 0.0121102
  278 5.55 0.29301 0.0119985
  279 5.57 0.295651 0.0121066
  280 5.59 0.29455 0.0120616
  281 5.61 0.293199 0.0120062
  282 5.63 0.292141 0.0119629
  283 5.65 0.290147 0.0118813
  284 5.67 0.293435 0.0120159
  285 5.69 0.293652 0.0120248
  286 5.71 0.29229 0.011969
  287 5.73 0.293172 0.0120051
  288 5.75 0.293045 0.0119999
  289 5.77 0.292344 0.0119712
  290 5.79 0.294997 0.0120798
  291 5.81 0.293419 0.0120153
  292 5.83 0.291534 0.011938
  293 5.85 0.290832 0.0119093
  294 5.87 0.292663 0.0119843
  295 5.89 0.290862 0.0119105
  296 5.91 0.290995 0.011916
  297 5.93 0.294323 0.0120523
  298 5.95 0.2937 0.0120267
  299 5.97 0.296353 0.0121354
  300 5.99 0.295998 0.0121208
  301 6.01 0.293579 0.0120218
  302 6.03 0.2947 0.0120677
